filename = L2-2way.txt
=========================L1I=========================
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x802d 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8044 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8016 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8053 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8042 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8010 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8017 	
| V:1 D:0 Tag: 0x8017 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8043 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8048 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x8049 	
| V:1 D:0 Tag: 0x8030 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x803f 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x802c 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8040 	
| V:1 D:0 Tag: 0x8031 	
| V:1 D:0 Tag: 0x8031 	
=========================L1D=========================
| V:1 D:1 Tag: 0x4000 	
| V:1 D:1 Tag: 0x4000 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x80e9 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:1 Tag: 0x80ee 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:1 Tag: 0x808a 	
| V:1 D:0 Tag: 0x4807 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8094 	
| V:1 D:0 Tag: 0x8094 	
| V:1 D:1 Tag: 0x80e6 	
| V:1 D:1 Tag: 0x80f6 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x4594 	
| V:1 D:0 Tag: 0x802e 	
| V:1 D:0 Tag: 0x489e 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:1 Tag: 0x489b 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:1 Tag: 0x42ed 	
| V:1 D:1 Tag: 0x808a 	
| V:1 D:1 Tag: 0x42ed 	
| V:1 D:1 Tag: 0x42ed 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:1 Tag: 0x42ed 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:0 Tag: 0x808d 	
| V:1 D:1 Tag: 0x42ed 	
| V:1 D:0 Tag: 0x4d96 	
| V:1 D:0 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:0 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x808a 	
| V:1 D:1 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:1 Tag: 0x808a 	
| V:1 D:0 Tag: 0x4594 	
| V:1 D:0 Tag: 0x808a 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x80f5 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x42ed 	
| V:1 D:0 Tag: 0x808f 	
| V:1 D:0 Tag: 0x4594 	
| V:1 D:0 Tag: 0x4001 	
| V:1 D:0 Tag: 0x4001 	
| V:1 D:0 Tag: 0x4594 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x4d96 	
| V:1 D:0 Tag: 0x4595 	
| V:1 D:0 Tag: 0x4595 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x4d96 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x4001 	
| V:1 D:1 Tag: 0x80f5 	
| V:1 D:0 Tag: 0x80f5 	
| V:1 D:1 Tag: 0x4ba3 	
| V:1 D:1 Tag: 0x80f5 	
| V:1 D:0 Tag: 0x80e6 	
| V:1 D:1 Tag: 0x80e6 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:1 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:1 Tag: 0x80f5 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80f7 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:1 Tag: 0x4ba3 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x40a9 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:0 Tag: 0x44eb 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x80ea 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x808b 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80f6 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x8093 	
| V:1 D:0 Tag: 0x49a5 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80fa 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x80f9 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x80ed 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x4800 	
| V:1 D:1 Tag: 0x4800 	
| V:1 D:1 Tag: 0x4800 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8090 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x407ff 	
| V:1 D:1 Tag: 0x407ff 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x489b 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x4000 	
| V:1 D:0 Tag: 0x80ed 	
| V:1 D:1 Tag: 0x8089 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x8091 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:0 Tag: 0x808e 	
| V:1 D:1 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x80e5 	
| V:1 D:0 Tag: 0x4593 	
| V:1 D:1 Tag: 0x4808 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x4ba3 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:1 Tag: 0x4821 	
| V:1 D:1 Tag: 0x4821 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44d6 	
| V:1 D:0 Tag: 0x4821 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:1 Tag: 0x4808 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x44ea 	
| V:1 D:0 Tag: 0x8092 	
| V:1 D:0 Tag: 0x8089 	
| V:1 D:0 Tag: 0x4ba2 	
| V:1 D:0 Tag: 0x8089 	
=========================L2==========================
| V:1 D:1 Tag: 0x1000 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:1 Tag: 0x1000 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x1226 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x1165 	
| V:1 D:0 Tag: 0x2025 	| V:1 D:0 Tag: 0x2000 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x2011 	
| V:1 D:0 Tag: 0x2000 	| V:1 D:0 Tag: 0x1165 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x1000 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:0 Tag: 0x1226 	
| V:1 D:0 Tag: 0x1226 	| V:1 D:0 Tag: 0x1239 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:0 Tag: 0x1226 	
| V:1 D:0 Tag: 0x2006 	| V:1 D:0 Tag: 0x1226 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x203b 	| V:1 D:0 Tag: 0x1239 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x203b 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x1239 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x1239 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2005 	| V:1 D:0 Tag: 0x10bd 	
| V:1 D:0 Tag: 0x1165 	| V:1 D:0 Tag: 0x10bd 	
| V:1 D:0 Tag: 0x2005 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2005 	| V:1 D:0 Tag: 0x1165 	
| V:1 D:0 Tag: 0x2005 	| V:1 D:0 Tag: 0x1165 	
| V:1 D:0 Tag: 0x2005 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2009 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x1239 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x1202 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x2012 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:1 Tag: 0x1269 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2004 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x2004 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x2009 	
| V:1 D:0 Tag: 0x2007 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2007 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x2012 	
| V:1 D:0 Tag: 0x2011 	| V:1 D:0 Tag: 0x200c 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2006 	
| V:1 D:0 Tag: 0x200c 	| V:1 D:0 Tag: 0x2006 	
